artist_name,track_name,track_id,track_popularity,artist_id,artist_popularity,artist_genres,artist_followers,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Linkin Park,IGYEIH,7M8eZBRTD9QNasEVReEM0H,78,6XyY86QOPPrYVGvF9ch6wz,93,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",27712063,0.442,0.968,-3.417,0.126,0.00227,1.53e-05,0.296,0.308,159.974,209084,4
Linkin Park,Good Things Go,6aCBjSb87RizdH8lVBIRW7,79,6XyY86QOPPrYVGvF9ch6wz,93,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",27712063,0.541,0.757,-5.37,0.0421,0.00867,0.0,0.136,0.307,127.005,209845,4
keshi,Kiss Me Right,4fXmBERnR3SDk053aqQqwa,66,3pc0bOVB5whxmD50W79wwO,78,['chill r&b'],3806322,0.332,0.812,-4.278,0.0893,0.0727,3.93e-06,0.289,0.558,69.728,161968,4
King Gnu,MASCARA,25uU7huzrh4M91FXJvHWhY,64,6wxfx1yhyqjCPYwwxJktR2,72,['j-pop'],3659794,0.462,0.864,-6.929,0.0621,0.0188,3.44e-06,0.428,0.297,116.668,215067,4
Shaboozey,A Bar Song (Tipsy),2FQrifJ1N335Ljm3TjTVVf,86,3y2cIKLjiOlp1Np37WiUdH,80,"['modern country pop', 'pop rap']",803992,0.722,0.709,-4.95,0.0273,0.0633,0.0,0.0804,0.604,81.012,171292,4
¥$,PROMOTION,6bSfeCXlUaGa3eWCy5qPTb,68,4xPQFgDA5M2xa0ZGo5iIsv,78,[],849740,0.775,0.316,-11.591,0.447,0.262,0.0,0.0853,0.268,157.022,158877,4
Omoinotake,幾億光年,4dmruTsdHIOjfOIeaFitXK,72,63ylN6WBUUxxMsySiDmr0B,61,"['city pop', 'japanese soul']",195092,0.558,0.79,-4.372,0.0411,0.0138,0.0,0.224,0.543,95.607,276918,4
MINHO,Slow Down,1BYsdhnTs7hQdJXn8wFofc,45,08uRwDeNv1d7FSwlOUZdSn,54,['k-pop'],220857,0.728,0.517,-5.54,0.0409,0.396,0.0,0.393,0.617,102.04,163427,4
Tommy Richman,DEVIL IS A LIE,6jlG8gBPNAgBgoivw2Ig09,78,1WaFQSHVGZQJTbf0BdxdNo,78,['chill abstract hip hop'],764648,0.904,0.452,-7.272,0.132,0.174,0.0,0.115,0.613,90.026,130944,4
QWER,SODA,0VfOZBCILsIrkJPzw3WdvA,43,0XufO9nLOKNN0w0qNrDrZy,55,['5th gen k-pop'],155333,0.759,0.959,-2.682,0.165,0.229,0.0,0.311,0.485,137.016,178187,4
AKE RUSH,HIGH SCORE,6ahYiT1Qc6Uwyy8WrfYVBa,33,18VVZV7i72PIKYWIYe3SST,26,[],193,0.689,0.912,-6.02,0.0808,0.00782,0.0725,0.0812,0.887,179.853,160082,4
HOMIES,9TTANG,2LATCttJK7Svr1sHL8PAA4,38,3PpfvyyncoZ79IgYe0Uls0,49,['korean underground rap'],90713,0.751,0.822,-4.031,0.041,0.131,0.0,0.0797,0.689,134.028,174973,4
J.Tajor,Like I Do (with sunkis),76NX6bt1KCSg0yULpmlkyJ,65,0VpMOC5IZU06u29fWjv3qJ,63,[],88506,0.788,0.47,-5.427,0.0412,0.67,0.0,0.107,0.701,104.988,149714,4
Paul Kim,Can't Get Over You,5F3032rq3MJG7cDjRtj0wo,56,4qRXrzUmdy3p33lgvJEzdv,54,['korean pop'],304509,0.539,0.419,-7.532,0.0332,0.858,2.83e-06,0.096,0.159,119.942,245067,4
Benson Boone,Ghost Town,6HuHyXviAdpmnQu73JHfBz,76,22wbnEMDvgVIAGdFeek6ET,86,['singer-songwriter pop'],3964537,0.391,0.335,-10.064,0.0763,0.389,0.0,0.102,0.116,174.185,193733,3
BABYMONSTER,BATTER UP (Remix) - Bonus Track,0cbsrQokJdLSJSmIh2yIi7,63,1SIocsqdEefUTE6XKGUiVS,79,['5th gen k-pop'],2977242,0.772,0.798,-4.407,0.0474,0.0982,0.0,0.0659,0.715,130.01,226939,4
MKKO,KKO,2lZ7sKQ6XYIHsuwhDJmGZN,33,5UE50cDq5mkem3neSNNYuR,34,[],232,0.767,0.701,-10.909,0.0547,0.971,0.961,0.189,0.781,94.995,144555,4
The Kid LAROI,SLOW IT DOWN,6EBHz85BW58iHN9yuT35Od,69,2tIP7SsRs7vjIcLrU85W8J,85,['australian hip hop'],5859977,0.725,0.601,-5.959,0.151,0.0875,0.000637,0.106,0.664,98.055,142936,4
Adam Port,Move,1BJJbSX6muJVF2AK7uH1x4,86,2loEsOijJ6XiGzWYFXMIRk,77,['melodic house'],221396,0.727,0.782,-8.529,0.042,0.0563,0.336,0.225,0.655,119.992,177599,4
